was succesful, reward, actual ca, target ca, runs completed
0,-71.199,3.25,20,1
1,1059.4236000022884,20.03,20,2
0,-83.936,2.31,20,3
0,-77.638,2.8200000000000003,20,4
0,-84.8,2.1500000000000004,20,5
0,-76.179,2.91,20,6
0,-74.046,2.74,20,7
0,-86.592,2.0300000000000002,20,8
0,-43.14699999999999,4.58,20,9
0,-86.165,2.3,20,10
1,919.4750000019073,20.02,20,11
0,-84.662,2.33,20,12
0,-78.33,2.55,20,13
0,-77.506,2.55,20,14
0,-85.267,2.29,20,15
0,-52.116,4.16,20,16
0,-79.629,2.27,20,17
0,-13.485000000000014,5.66,20,18
0,-83.316,2.42,20,19
0,-78.413,2.3800000000000003,20,20
